2002 TPHC ,,,,,,,,,,,2012 TPHC ,,,,,,,,,,,,,,,,,,,,,,,
"Table 1.0: Dodoma Region: Total Population by Age in Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 1.0: Dodoma Region: Total Population by Age in Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
50-54,"6,084","2,701","3,383","5,704","2,536","3,168",380,165,215,,"7,900","3,713","4,187","7,209","3,393","3,816",691,320,371,,,,,,,,,,,,,,,
55-59,"4,065","1,879","2,186","3,821","1,772","2,049",244,107,137,,"4,871","2,359","2,512","4,412","2,140","2,272",459,219,240,,,,,,,,,,,,,,,
60-64,"4,218","1,948","2,270","3,978","1,848","2,130",240,100,140,,"4,923","2,266","2,657","4,520","2,075","2,445",403,191,212,,,,,,,,,,,,,,,
65-69,"3,048","1,423","1,625","2,866","1,333","1,533",182,90,92,,"3,177","1,455","1,722","2,952","1,352","1,600",225,103,122,,,,,,,,,,,,,,,
70-74,"2,804","1,350","1,454","2,638","1,288","1,350",166,62,104,,"3,347","1,553","1,794","3,086","1,438","1,648",261,115,146,,,,,,,,,,,,,,,
75-79,"1,559",793,766,"1,463",747,716,96,46,50,,"1,804",843,961,"1,669",784,885,135,59,76,,,,,,,,,,,,,,,
80+,"2,230","1,144","1,086","2,101","1,082","1,019",129,62,67,,"3,552","1,594","1,958","3,302","1,483","1,819",250,111,139,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC ,,,,,,,,,,,,,,,,,,,,,,,
"Table 1.4 : Chamwino District Council: Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 1.4 : Chamwino District Council: Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"259,885","123,294","136,591","252,020","119,638","132,382","7,865","3,656","4,209",,"327,042","157,227","169,815","308,616","148,541","160,075","18,426","8,686","9,740",,,,,,,,,,,,,,,
0-4,"44,030","21,875","22,155","42,752","21,237","21,515","1,278",638,640,,"56,086","27,885","28,201","53,685","26,715","26,970","2,401","1,170","1,231",,,,,,,,,,,,,,,
5-9,"38,542","19,397","19,145","37,342","18,766","18,576","1,200",631,569,,"56,536","28,559","27,977","53,722","27,100","26,622","2,814","1,459","1,355",,,,,,,,,,,,,,,
10-14,"31,617","16,016","15,601","30,587","15,477","15,110","1,030",539,491,,"42,700","21,677","21,023","40,163","20,405","19,758","2,537","1,272","1,265",,,,,,,,,,,,,,,
15-19,"25,490","12,564","12,926","24,769","12,206","12,563",721,358,363,,"27,822","14,210","13,612","25,882","13,220","12,662","1,940",990,950,,,,,,,,,,,,,,,
20-24,"21,749","9,047","12,702","21,206","8,832","12,374",543,215,328,,"23,302","10,438","12,864","21,955","9,826","12,129","1,347",612,735,,,,,,,,,,,,,,,
25-29,"19,125","8,322","10,803","18,582","8,104","10,478",543,218,325,,"20,582","9,043","11,539","19,454","8,553","10,901","1,128",490,638,,,,,,,,,,,,,,,
30-34,"17,510","7,866","9,644","16,985","7,652","9,333",525,214,311,,"19,512","8,742","10,770","18,338","8,244","10,094","1,174",498,676,,,,,,,,,,,,,,,
35-39,"12,650","5,958","6,692","12,250","5,779","6,471",400,179,221,,"15,927","7,184","8,743","14,908","6,745","8,163","1,019",439,580,,,,,,,,,,,,,,,
