2002 TPHC ,,,,,,,,,,,2012 TPHC ,,,,,,,,,,,,,,,,,,,,,,,
"Table 1.0: Dodoma Region: Total Population by Age in Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 1.0: Dodoma Region: Total Population by Age in Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
50-54,"5,535","2,805","2,730","4,876","2,494","2,382",659,311,348,,"7,977","4,265","3,712","6,961","3,725","3,236","1,016",540,476,,,,,,,,,,,,,,,
55-59,"3,657","1,987","1,670","3,266","1,794","1,472",391,193,198,,"4,393","2,391","2,002","3,861","2,111","1,750",532,280,252,,,,,,,,,,,,,,,
60-64,"3,559","2,041","1,518","3,169","1,860","1,309",390,181,209,,"4,373","2,469","1,904","3,846","2,213","1,633",527,256,271,,,,,,,,,,,,,,,
65-69,"2,434","1,431","1,003","2,195","1,311",884,239,120,119,,"2,722","1,507","1,215","2,403","1,347","1,056",319,160,159,,,,,,,,,,,,,,,
70-74,"1,947","1,003",944,"1,718",913,805,229,90,139,,"2,600","1,469","1,131","2,274","1,311",963,326,158,168,,,,,,,,,,,,,,,
75-79,"1,144",708,436,"1,012",643,369,132,65,67,,"1,484",850,634,"1,288",767,521,196,83,113,,,,,,,,,,,,,,,
80+,"1,491",882,609,"1,323",806,517,168,76,92,,"2,347","1,198","1,149","2,071","1,086",985,276,112,164,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
Table 51.0 Kaskazini Unguja Region : Total Population by Five Years Age Groups and Sex and Residence,,,,,,,,,,,Table 51.0 Kaskazini Unguja Region : Total Population by Five Years Age Groups and Sex and Residence,,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"136,639","66,882","69,757","134,299","65,794","68,505","2,340","1,088","1,252",,"183,156","89,626","93,530","168,023","82,400","85,623","15,133","7,226","7,907",,,,,,,,,,,,,,,
0-4,"20,695","10,371","10,324","20,320","10,190","10,130",375,181,194,,"29,866","14,942","14,924","27,254","13,650","13,604","2,612","1,292","1,320",,,,,,,,,,,,,,,
9-May,"21,835","11,107","10,728","21,483","10,938","10,545",352,169,183,,"25,805","12,770","13,035","23,755","11,734","12,021","2,050","1,036","1,014",,,,,,,,,,,,,,,
4-Oct,"19,345","10,073","9,272","19,001","9,898","9,103",344,175,169,,"22,794","11,610","11,184","21,053","10,729","10,324","1,741",881,860,,,,,,,,,,,,,,,
15-19,"14,692","7,146","7,546","14,426","7,011","7,415",266,135,131,,"19,804","9,789","10,015","18,338","9,164","9,174","1,466",625,841,,,,,,,,,,,,,,,
20-24,"11,248","5,274","5,974","11,067","5,209","5,858",181,65,116,,"16,483","7,783","8,700","14,997","7,105","7,892","1,486",678,808,,,,,,,,,,,,,,,
25-29,"10,276","4,747","5,529","10,125","4,680","5,445",151,67,84,,"12,922","5,998","6,924","11,665","5,462","6,203","1,257",536,721,,,,,,,,,,,,,,,
30-34,"8,282","3,776","4,506","8,141","3,720","4,421",141,56,85,,"10,191","4,765","5,426","9,233","4,335","4,898",958,430,528,,,,,,,,,,,,,,,
35-39,"7,208","3,319","3,889","7,089","3,263","3,826",119,56,63,,"9,496","4,216","5,280","8,624","3,798","4,826",872,418,454,,,,,,,,,,,,,,,
40-44,"5,530","2,649","2,881","5,411","2,598","2,813",119,51,68,,"8,278","3,748","4,530","7,514","3,387","4,127",764,361,403,,,,,,,,,,,,,,,
45-49,"3,887","1,927","1,960","3,813","1,892","1,921",74,35,39,,"8,543","3,788","4,755","7,684","3,453","4,231",859,335,524,,,,,,,,,,,,,,,
50-54,"3,522","1,593","1,929","3,454","1,566","1,888",68,27,41,,"5,739","3,068","2,671","5,361","2,828","2,533",378,240,138,,,,,,,,,,,,,,,
55-59,"2,194","1,135","1,059","2,154","1,114","1,040",40,21,19,,"3,366","1,914","1,452","3,171","1,788","1,383",195,126,69,,,,,,,,,,,,,,,
60-64,"2,631","1,215","1,416","2,598","1,203","1,395",33,12,21,,"3,357","1,800","1,557","3,196","1,711","1,485",161,89,72,,,,,,,,,,,,,,,
65-69,"1,481",743,738,"1,445",727,718,36,16,20,,"1,908","1,033",875,"1,809",974,835,99,59,40,,,,,,,,,,,,,,,
70-74,"1,611",776,835,"1,592",770,822,19,6,13,,"2,033","1,058",975,"1,939","1,013",926,94,45,49,,,,,,,,,,,,,,,
75-79,765,386,379,756,378,378,9,8,1,,955,535,420,900,500,400,55,35,20,,,,,,,,,,,,,,,
80+,"1,437",645,792,"1,424",637,787,13,8,5,,"1,616",809,807,"1,530",769,761,86,40,46,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
Table 51.1  Kaskazini A District: Total Population by Five Years Age Groups and Sex and Residence,,,,,,,,,,,Table 51.1  Kaskazini A District: Total Population by Five Years Age Groups and Sex and Residence,,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"84,147","40,580","43,567","83,209","40,171","43,038",938,409,529,,"102,581","49,718","52,863","91,888","44,634","47,254","10,693","5,084","5,609",,,,,,,,,,,,,,,
0-4,"13,183","6,592","6,591","13,042","6,523","6,519",141,69,72,,"16,331","8,187","8,144","14,480","7,276","7,204","1,851",911,940,,,,,,,,,,,,,,,
9-May,"13,759","6,976","6,783","13,601","6,903","6,698",158,73,85,,"14,582","7,130","7,452","13,137","6,403","6,734","1,445",727,718,,,,,,,,,,,,,,,
4-Oct,"12,090","6,294","5,796","11,961","6,236","5,725",129,58,71,,"12,918","6,612","6,306","11,746","6,033","5,713","1,172",579,593,,,,,,,,,,,,,,,
15-19,"8,981","4,263","4,718","8,884","4,223","4,661",97,40,57,,"11,077","5,355","5,722","10,080","4,938","5,142",997,417,580,,,,,,,,,,,,,,,
20-24,"6,570","2,892","3,678","6,502","2,867","3,635",68,25,43,,"9,099","4,232","4,867","8,017","3,752","4,265","1,082",480,602,,,,,,,,,,,,,,,
25-29,"6,177","2,793","3,384","6,115","2,771","3,344",62,22,40,,"7,026","3,206","3,820","6,151","2,840","3,311",875,366,509,,,,,,,,,,,,,,,
30-34,"4,847","2,163","2,684","4,782","2,131","2,651",65,32,33,,"5,486","2,439","3,047","4,780","2,142","2,638",706,297,409,,,,,,,,,,,,,,,
35-39,"4,440","2,011","2,429","4,387","1,987","2,400",53,24,29,,"5,398","2,366","3,032","4,750","2,034","2,716",648,332,316,,,,,,,,,,,,,,,
40-44,"3,311","1,529","1,782","3,268","1,512","1,756",43,17,26,,"4,531","2,029","2,502","3,968","1,761","2,207",563,268,295,,,,,,,,,,,,,,,
45-49,"2,339","1,158","1,181","2,308","1,145","1,163",31,13,18,,"4,960","2,085","2,875","4,318","1,816","2,502",642,269,373,,,,,,,,,,,,,,,
50-54,"2,131",913,"1,218","2,092",898,"1,194",39,15,24,,"3,379","1,784","1,595","3,133","1,625","1,508",246,159,87,,,,,,,,,,,,,,,
55-59,"1,310",659,651,"1,290",651,639,20,8,12,,"1,952","1,157",795,"1,822","1,073",749,130,84,46,,,,,,,,,,,,,,,
60-64,"1,628",734,894,"1,618",731,887,10,3,7,,"1,964","1,060",904,"1,850",995,855,114,65,49,,,,,,,,,,,,,,,
65-69,886,448,438,876,443,433,10,5,5,,"1,111",592,519,"1,044",546,498,67,46,21,,,,,,,,,,,,,,,
70-74,"1,028",477,551,"1,021",475,546,7,2,5,,"1,197",644,553,"1,142",613,529,55,31,24,,,,,,,,,,,,,,,
75-79,471,236,235,470,235,235,1,1,0,,554,307,247,514,285,229,40,22,18,,,,,,,,,,,,,,,
80+,996,442,554,992,440,552,4,2,2,,"1,016",533,483,956,502,454,60,31,29,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
Table 51.2  Kaskazini B District: Total Population by Five Years Age Groups and Sex and Residence,,,,,,,,,,,Table 51.2  Kaskazini B District: Total Population by Five Years Age Groups and Sex and Residence,,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"52,492","26,302","26,190","51,090","25,623","25,467","1,402",679,723,,"80,575","39,908","40,667","76,135","37,766","38,369","4,440","2,142","2,298",,,,,,,,,,,,,,,
0-4,"7,512","3,779","3,733","7,278","3,667","3,611",234,112,122,,"13,535","6,755","6,780","12,774","6,374","6,400",761,381,380,,,,,,,,,,,,,,,
9-May,"8,076","4,131","3,945","7,882","4,035","3,847",194,96,98,,"11,223","5,640","5,583","10,618","5,331","5,287",605,309,296,,,,,,,,,,,,,,,
4-Oct,"7,255","3,779","3,476","7,040","3,662","3,378",215,117,98,,"9,876","4,998","4,878","9,307","4,696","4,611",569,302,267,,,,,,,,,,,,,,,
15-19,"5,711","2,883","2,828","5,542","2,788","2,754",169,95,74,,"8,727","4,434","4,293","8,258","4,226","4,032",469,208,261,,,,,,,,,,,,,,,
20-24,"4,678","2,382","2,296","4,565","2,342","2,223",113,40,73,,"7,384","3,551","3,833","6,980","3,353","3,627",404,198,206,,,,,,,,,,,,,,,
25-29,"4,099","1,954","2,145","4,010","1,909","2,101",89,45,44,,"5,896","2,792","3,104","5,514","2,622","2,892",382,170,212,,,,,,,,,,,,,,,
30-34,"3,435","1,613","1,822","3,359","1,589","1,770",76,24,52,,"4,705","2,326","2,379","4,453","2,193","2,260",252,133,119,,,,,,,,,,,,,,,
35-39,"2,768","1,308","1,460","2,702","1,276","1,426",66,32,34,,"4,098","1,850","2,248","3,874","1,764","2,110",224,86,138,,,,,,,,,,,,,,,
40-44,"2,219","1,120","1,099","2,143","1,086","1,057",76,34,42,,"3,747","1,719","2,028","3,546","1,626","1,920",201,93,108,,,,,,,,,,,,,,,
45-49,"1,548",769,779,"1,505",747,758,43,22,21,,"3,583","1,703","1,880","3,366","1,637","1,729",217,66,151,,,,,,,,,,,,,,,
50-54,"1,391",680,711,"1,362",668,694,29,12,17,,"2,360","1,284","1,076","2,228","1,203","1,025",132,81,51,,,,,,,,,,,,,,,
55-59,884,476,408,864,463,401,20,13,7,,"1,414",757,657,"1,349",715,634,65,42,23,,,,,,,,,,,,,,,
60-64,"1,003",481,522,980,472,508,23,9,14,,"1,393",740,653,"1,346",716,630,47,24,23,,,,,,,,,,,,,,,
65-69,595,295,300,569,284,285,26,11,15,,797,441,356,765,428,337,32,13,19,,,,,,,,,,,,,,,
70-74,583,299,284,571,295,276,12,4,8,,836,414,422,797,400,397,39,14,25,,,,,,,,,,,,,,,
75-79,294,150,144,286,143,143,8,7,1,,401,228,173,386,215,171,15,13,2,,,,,,,,,,,,,,,
80+,441,203,238,432,197,235,9,6,3,,600,276,324,574,267,307,26,9,17,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
Table 52.0  Kusini Unguja Region: Total Population by Five Years Age Groups and Sex and Residence,,,,,,,,,,,Table 52.0  Kusini Unguja Region: Total Population by Five Years Age Groups and Sex and Residence,,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"94,244","47,667","46,577","89,379","45,376","44,003","4,865","2,291","2,574",,"112,359","55,751","56,608","105,321","52,414","52,907","7,038","3,337","3,701",,,,,,,,,,,,,,,
0-4,"13,132","6,712","6,420","12,443","6,387","6,056",689,325,364,,"16,532","8,449","8,083","15,514","7,934","7,580","1,018",515,503,,,,,,,,,,,,,,,
9-May,"13,241","6,688","6,553","12,625","6,370","6,255",616,318,298,,"14,199","7,284","6,915","13,378","6,856","6,522",821,428,393,,,,,,,,,,,,,,,
4-Oct,"13,840","7,196","6,644","13,192","6,875","6,317",648,321,327,,"13,681","7,124","6,557","12,849","6,722","6,127",832,402,430,,,,,,,,,,,,,,,
15-19,"9,957","5,174","4,783","9,401","4,881","4,520",556,293,263,,"11,647","5,974","5,673","10,947","5,610","5,337",700,364,336,,,,,,,,,,,,,,,
20-24,"8,021","4,026","3,995","7,606","3,852","3,754",415,174,241,,"11,036","5,263","5,773","10,368","4,971","5,397",668,292,376,,,,,,,,,,,,,,,
25-29,"7,850","3,883","3,967","7,484","3,708","3,776",366,175,191,,"9,188","4,280","4,908","8,615","4,035","4,580",573,245,328,,,,,,,,,,,,,,,
30-34,"6,603","3,261","3,342","6,294","3,135","3,159",309,126,183,,"7,623","3,607","4,016","7,120","3,387","3,733",503,220,283,,,,,,,,,,,,,,,
35-39,"5,172","2,538","2,634","4,916","2,428","2,488",256,110,146,,"6,570","3,068","3,502","6,132","2,870","3,262",438,198,240,,,,,,,,,,,,,,,
40-44,"4,053","2,022","2,031","3,835","1,929","1,906",218,93,125,,"5,603","2,639","2,964","5,291","2,495","2,796",312,144,168,,,,,,,,,,,,,,,
45-49,"2,712","1,374","1,338","2,561","1,300","1,261",151,74,77,,"4,473","2,189","2,284","4,177","2,055","2,122",296,134,162,,,,,,,,,,,,,,,
50-54,"2,515","1,230","1,285","2,367","1,165","1,202",148,65,83,,"3,501","1,760","1,741","3,231","1,638","1,593",270,122,148,,,,,,,,,,,,,,,
55-59,"1,557",816,741,"1,474",770,704,83,46,37,,"2,058","1,075",983,"1,915","1,010",905,143,65,78,,,,,,,,,,,,,,,
60-64,"1,856",890,966,"1,729",845,884,127,45,82,,"2,067",998,"1,069","1,915",927,988,152,71,81,,,,,,,,,,,,,,,
65-69,"1,126",555,571,"1,037",512,525,89,43,46,,"1,215",601,614,"1,126",561,565,89,40,49,,,,,,,,,,,,,,,
70-74,"1,183",592,591,"1,094",552,542,89,40,49,,"1,348",648,700,"1,239",598,641,109,50,59,,,,,,,,,,,,,,,
75-79,516,282,234,471,260,211,45,22,23,,621,340,281,574,320,254,47,20,27,,,,,,,,,,,,,,,
80+,910,428,482,850,407,443,60,21,39,,997,452,545,930,425,505,67,27,40,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
Table 52.1 Kati District: Total Population by Five Years Age Groups and Sex and Residence,,,,,,,,,,,Table 52.1 Kati District: Total Population by Five Years Age Groups and Sex and Residence,,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"62,391","32,191","30,200","61,426","31,712","29,714",965,479,486,,"74,834","37,424","37,410","72,986","36,552","36,434","1,848",872,976,,,,,,,,,,,,,,,
0-4,"8,881","4,569","4,312","8,723","4,490","4,233",158,79,79,,"11,221","5,703","5,518","10,915","5,547","5,368",306,156,150,,,,,,,,,,,,,,,
9-May,"8,973","4,545","4,428","8,837","4,473","4,364",136,72,64,,"9,751","4,958","4,793","9,526","4,848","4,678",225,110,115,,,,,,,,,,,,,,,
4-Oct,"9,281","4,938","4,343","9,141","4,869","4,272",140,69,71,,"9,378","4,864","4,514","9,157","4,767","4,390",221,97,124,,,,,,,,,,,,,,,
15-19,"6,759","3,527","3,232","6,643","3,463","3,180",116,64,52,,"7,908","4,050","3,858","7,706","3,958","3,748",202,92,110,,,,,,,,,,,,,,,
20-24,"5,370","2,777","2,593","5,273","2,740","2,533",97,37,60,,"7,336","3,569","3,767","7,143","3,487","3,656",193,82,111,,,,,,,,,,,,,,,
25-29,"4,996","2,548","2,448","4,923","2,508","2,415",73,40,33,,"6,012","2,820","3,192","5,853","2,754","3,099",159,66,93,,,,,,,,,,,,,,,
30-34,"4,343","2,185","2,158","4,286","2,157","2,129",57,28,29,,"4,897","2,358","2,539","4,752","2,289","2,463",145,69,76,,,,,,,,,,,,,,,
35-39,"3,452","1,720","1,732","3,402","1,700","1,702",50,20,30,,"4,246","2,028","2,218","4,131","1,973","2,158",115,55,60,,,,,,,,,,,,,,,
40-44,"2,689","1,413","1,276","2,649","1,394","1,255",40,19,21,,"3,702","1,782","1,920","3,627","1,744","1,883",75,38,37,,,,,,,,,,,,,,,
45-49,"1,809",964,845,"1,782",946,836,27,18,9,,"2,890","1,441","1,449","2,819","1,405","1,414",71,36,35,,,,,,,,,,,,,,,
50-54,"1,616",815,801,"1,597",806,791,19,9,10,,"2,255","1,168","1,087","2,213","1,144","1,069",42,24,18,,,,,,,,,,,,,,,
55-59,949,520,429,941,514,427,8,6,2,,"1,372",747,625,"1,340",728,612,32,19,13,,,,,,,,,,,,,,,
60-64,"1,119",563,556,"1,103",555,548,16,8,8,,"1,289",632,657,"1,270",625,645,19,7,12,,,,,,,,,,,,,,,
65-69,653,346,307,644,342,302,9,4,5,,773,413,360,760,405,355,13,8,5,,,,,,,,,,,,,,,
70-74,687,347,340,675,343,332,12,4,8,,803,391,412,785,383,402,18,8,10,,,,,,,,,,,,,,,
75-79,295,168,127,293,166,127,2,2,0,,363,212,151,360,211,149,3,1,2,,,,,,,,,,,,,,,
80+,519,246,273,514,246,268,5,0,5,,638,288,350,629,284,345,9,4,5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
Table 52.2 Kusini District: Total Population by Five Years Age Groups and Sex and Residence,,,,,,,,,,,Table 52.2 Kusini District: Total Population by Five Years Age Groups and Sex and Residence,,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"31,853","15,476","16,377","27,953","13,664","14,289","3,900","1,812","2,088",,"37,525","18,327","19,198","32,335","15,862","16,473","5,190","2,465","2,725",,,,,,,,,,,,,,,
0-4,"4,251","2,143","2,108","3,720","1,897","1,823",531,246,285,,"5,311","2,746","2,565","4,599","2,387","2,212",712,359,353,,,,,,,,,,,,,,,
9-May,"4,268","2,143","2,125","3,788","1,897","1,891",480,246,234,,"4,448","2,326","2,122","3,852","2,008","1,844",596,318,278,,,,,,,,,,,,,,,
4-Oct,"4,559","2,258","2,301","4,051","2,006","2,045",508,252,256,,"4,303","2,260","2,043","3,692","1,955","1,737",611,305,306,,,,,,,,,,,,,,,
15-19,"3,198","1,647","1,551","2,758","1,418","1,340",440,229,211,,"3,739","1,924","1,815","3,241","1,652","1,589",498,272,226,,,,,,,,,,,,,,,
20-24,"2,651","1,249","1,402","2,333","1,112","1,221",318,137,181,,"3,700","1,694","2,006","3,225","1,484","1,741",475,210,265,,,,,,,,,,,,,,,
25-29,"2,854","1,335","1,519","2,561","1,200","1,361",293,135,158,,"3,176","1,460","1,716","2,762","1,281","1,481",414,179,235,,,,,,,,,,,,,,,
30-34,"2,260","1,076","1,184","2,008",978,"1,030",252,98,154,,"2,726","1,249","1,477","2,368","1,098","1,270",358,151,207,,,,,,,,,,,,,,,
35-39,"1,720",818,902,"1,514",728,786,206,90,116,,"2,324","1,040","1,284","2,001",897,"1,104",323,143,180,,,,,,,,,,,,,,,
40-44,"1,364",609,755,"1,186",535,651,178,74,104,,"1,901",857,"1,044","1,664",751,913,237,106,131,,,,,,,,,,,,,,,
45-49,903,410,493,779,354,425,124,56,68,,"1,583",748,835,"1,358",650,708,225,98,127,,,,,,,,,,,,,,,
50-54,899,415,484,770,359,411,129,56,73,,"1,246",592,654,"1,018",494,524,228,98,130,,,,,,,,,,,,,,,
55-59,608,296,312,533,256,277,75,40,35,,686,328,358,575,282,293,111,46,65,,,,,,,,,,,,,,,
60-64,737,327,410,626,290,336,111,37,74,,778,366,412,645,302,343,133,64,69,,,,,,,,,,,,,,,
65-69,473,209,264,393,170,223,80,39,41,,442,188,254,366,156,210,76,32,44,,,,,,,,,,,,,,,
70-74,496,245,251,419,209,210,77,36,41,,545,257,288,454,215,239,91,42,49,,,,,,,,,,,,,,,
75-79,221,114,107,178,94,84,43,20,23,,258,128,130,214,109,105,44,19,25,,,,,,,,,,,,,,,
80+,391,182,209,336,161,175,55,21,34,,359,164,195,301,141,160,58,23,35,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
Table 53.0 Mjini Magharibi Region: Total Population by Five Years Age Groups and Sex and Residence,,,,,,,,,,,Table 53.0 Mjini Magharibi Region: Total Population by Five Years Age Groups and Sex and Residence,,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"390,074","190,366","199,708","70,593","35,758","34,835","319,481","154,608","164,873",,"586,882","279,248","307,634","91,388","44,399","46,989","495,494","234,849","260,645",,,,,,,,,,,,,,,
0-4,"57,160","28,753","28,407","11,257","5,669","5,588","45,903","23,084","22,819",,"86,292","43,035","43,257","15,908","7,940","7,968","70,384","35,095","35,289",,,,,,,,,,,,,,,
9-May,"53,356","26,030","27,326","10,271","5,119","5,152","43,085","20,911","22,174",,"77,517","37,868","39,649","13,002","6,521","6,481","64,515","31,347","33,168",,,,,,,,,,,,,,,
4-Oct,"46,476","22,464","24,012","9,019","4,561","4,458","37,457","17,903","19,554",,"71,412","34,760","36,652","10,814","5,339","5,475","60,598","29,421","31,177",,,,,,,,,,,,,,,
15-19,"40,904","18,929","21,975","6,820","3,372","3,448","34,084","15,557","18,527",,"63,332","28,834","34,498","8,658","4,135","4,523","54,674","24,699","29,975",,,,,,,,,,,,,,,
20-24,"43,661","20,231","23,430","6,889","3,160","3,729","36,772","17,071","19,701",,"61,522","26,867","34,655","8,480","3,515","4,965","53,042","23,352","29,690",,,,,,,,,,,,,,,
25-29,"38,781","18,797","19,984","6,766","3,429","3,337","32,015","15,368","16,647",,"50,730","22,134","28,596","7,883","3,274","4,609","42,847","18,860","23,987",,,,,,,,,,,,,,,
30-34,"29,586","14,658","14,928","5,614","2,986","2,628","23,972","11,672","12,300",,"42,706","19,455","23,251","7,324","3,607","3,717","35,382","15,848","19,534",,,,,,,,,,,,,,,
35-39,"22,250","11,289","10,961","4,006","2,214","1,792","18,244","9,075","9,169",,"36,039","17,235","18,804","5,781","3,046","2,735","30,258","14,189","16,069",,,,,,,,,,,,,,,
40-44,"16,648","8,461","8,187","2,898","1,568","1,330","13,750","6,893","6,857",,"27,978","14,133","13,845","3,912","2,052","1,860","24,066","12,081","11,985",,,,,,,,,,,,,,,
45-49,"11,484","6,003","5,481","1,927","1,056",871,"9,557","4,947","4,610",,"22,913","10,731","12,182","3,322","1,606","1,716","19,591","9,125","10,466",,,,,,,,,,,,,,,
50-54,"9,505","5,004","4,501","1,523",798,725,"7,982","4,206","3,776",,"15,850","8,417","7,433","2,176","1,159","1,017","13,674","7,258","6,416",,,,,,,,,,,,,,,
55-59,"5,642","2,995","2,647",919,475,444,"4,723","2,520","2,203",,"9,558","5,309","4,249","1,201",697,504,"8,357","4,612","3,745",,,,,,,,,,,,,,,
60-64,"5,195","2,529","2,666",886,440,446,"4,309","2,089","2,220",,"8,386","4,497","3,889","1,088",572,516,"7,298","3,925","3,373",,,,,,,,,,,,,,,
65-69,"2,996","1,477","1,519",550,284,266,"2,446","1,193","1,253",,"4,361","2,324","2,037",572,324,248,"3,789","2,000","1,789",,,,,,,,,,,,,,,
70-74,"2,989","1,328","1,661",563,286,277,"2,426","1,042","1,384",,"3,972","1,859","2,113",614,313,301,"3,358","1,546","1,812",,,,,,,,,,,,,,,
75-79,"1,394",624,770,243,128,115,"1,151",496,655,,"1,623",770,853,211,114,97,"1,412",656,756,,,,,,,,,,,,,,,
80+,"2,047",794,"1,253",442,213,229,"1,605",581,"1,024",,"2,691","1,020","1,671",442,185,257,"2,249",835,"1,414",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
Table 53.1 Magharibi Distric: Total Population by Five Years Age Groups and Sex and Residence,,,,,,,,,,,Table 53.1 Magharibi Distric: Total Population by Five Years Age Groups and Sex and Residence,,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"184,204","91,118","93,086","70,593","35,758","34,835","113,611","55,360","58,251",,"367,211","174,896","192,315","91,388","44,399","46,989","275,823","130,497","145,326",,,,,,,,,,,,,,,
0-4,"30,522","15,441","15,081","11,257","5,669","5,588","19,265","9,772","9,493",,"58,585","29,305","29,280","15,908","7,940","7,968","42,677","21,365","21,312",,,,,,,,,,,,,,,
9-May,"27,186","13,371","13,815","10,271","5,119","5,152","16,915","8,252","8,663",,"52,054","25,508","26,546","13,002","6,521","6,481","39,052","18,987","20,065",,,,,,,,,,,,,,,
4-Oct,"22,330","10,947","11,383","9,019","4,561","4,458","13,311","6,386","6,925",,"46,054","22,337","23,717","10,814","5,339","5,475","35,240","16,998","18,242",,,,,,,,,,,,,,,
15-19,"17,843","8,181","9,662","6,820","3,372","3,448","11,023","4,809","6,214",,"38,507","17,385","21,122","8,658","4,135","4,523","29,849","13,250","16,599",,,,,,,,,,,,,,,
